"KEY";"VALUE"
1849;3,2
1850;3,2
1851;3,2
1852;3,2
1853;3,2
1854;3,2
1855;3,2
1856;3,2
1857;3,2
1858;3,2
1859;3,2
1860;3,2
1861;3,2
1862;3,2
1863;3,2
1864;3,2
1865;3,2
1866;3,2
1867;3,2
1868;3,2
1869;3,2
1870;3,2
1871;3,2
1872;3,2
1873;3,2
1874;3,2
1875;3,2
1876;3,2
1877;3,2
1878;3,2
1879;3,2
1880;3,2
1881;3,2
1882;3,2
1883;3,2
1884;3,2
1885;3,2
1886;3,2
1887;3,2
1888;3,2
1889;3,2
1890;3,2
1891;3,2
1892;3,2
1893;3,2
1894;3,2
1895;3,2
1896;3,2
1897;3,2
1898;3,2
1899;3,2
1900;3,2
1901;3,2
1902;3,2
1903;3,2
1904;3,2
1905;3,2
1906;3,2
1907;3,2
1908;3,2
1909;3,199
1910;3,198
1911;3,197
1912;3,196
1913;3,196
1914;3,196
1915;3,198
1916;3,2
1917;3,2
1918;3,2
1919;3,2
1920;3,2
1921;3,2
1922;3,2
1923;3,188
1924;3,173
1925;3,155
1926;3,138
1927;3,122
1928;3,109
1929;3,102
1930;3,101
1931;3,108
1932;3,126
1933;3,156
1934;3,2
1935;3,2
1936;3,2
1937;3,2
1938;3,2
1939;3,2
1940;3,2
1941;3,2
1942;3,2
1943;3,2
1944;3,2
1945;3,2
1946;3,2
1947;2,981
1948;2,73
1949;2,472
1950;2,231
1951;2,032
1952;1,9
1953;1,85
1954;1,86
1955;1,9
1956;1,943
1957;1,981
1958;2,01
1959;2,027
1960;2,028
1961;2,009
1962;1,968
1963;1,9
1964;1,804
1965;1,684
1966;1,549
1967;1,404
1968;1,258
1969;1,118
1970;0,99
1971;0,882
1972;0,8
1973;0,75
1974;0,725
1975;0,719
1976;0,721
1977;0,725
1978;0,722
1979;0,71
1980;0,692
1981;0,671
1982;0,65
1983;0,632
1984;0,616
1985;0,601
1986;0,587
1987;0,571
1988;0,553
1989;0,532
1990;0,507
1991;0,477
1992;0,444
1993;0,411
1994;0,378
1995;0,347
1996;0,321
1997;0,3
1998;0,286
1999;0,278
2000;0,276
2001;0,277
2002;0,281
2003;0,287
2004;0,294
2005;0,3
2006;0,305
2007;0,308
2008;0,308
2009;0,306
2010;0,3
2011;0,291
2012;0,279
2013;0,265
2014;0,25
2015;0,235
2016;0,22
2017;0,206
2018;0,2
2019;0,2
2020;0,2
2021;0,2
